URL,Language,Type,Title,TitleLen,Description,DescLen,Canonical,Issues,Status
"/en/services/website-creation",en,service,"Website Creation - Design & Build | AnotherSEOGuru",50,"Website Creation with technical SEO from day one: clean UX architecture, mobile speed, Core Web Vitals and conversion structure. Request a free quote.",150,"https://anotherseoguru.com/en/services/website-creation","",ok
"/en/services/website-redesign",en,service,"Website Redesign - Design & Build | AnotherSEOGuru",50,"Website Redesign with technical SEO from day one: clean UX architecture, mobile speed, Core Web Vitals and conversion structure. Request a free quote.",150,"https://anotherseoguru.com/en/services/website-redesign","",ok
"/en/services/seo-web-design",en,service,"SEO Web Design - Design & Build | AnotherSEOGuru",48,"SEO Web Design with technical SEO from day one: clean UX architecture, mobile speed, Core Web Vitals and conversion structure. Request a free quote.",148,"https://anotherseoguru.com/en/services/seo-web-design","",ok
"/en/services/speed-optimization",en,service,"Speed Optimization - Design & Build | AnotherSEOGuru",52,"Speed Optimization with technical SEO from day one: clean UX architecture, mobile speed, Core Web Vitals and conversion structure. Request a free quote.",152,"https://anotherseoguru.com/en/services/speed-optimization","",ok
"/en/services/ai-visibility",en,service,"AI Visibility (GEO / AEO) - Strategy | AnotherSEOGuru",53,"AI Visibility (GEO / AEO) services for business growth: technical audits, demand-led content, and reporting tied to commercial goals. Request a quote.",150,"https://anotherseoguru.com/en/services/ai-visibility","",ok
"/en/services/logo-design",en,service,"Logo Design - Design & Build | AnotherSEOGuru",45,"Logo Design with technical SEO from day one: clean UX architecture, mobile speed, Core Web Vitals and conversion structure. Request a free quote.",145,"https://anotherseoguru.com/en/services/logo-design","",ok
"/en/services/content-creation",en,service,"Content Creation - Strategy | AnotherSEOGuru",44,"Content Creation services for business growth: technical audits, demand-led content, and monthly reporting tied to revenue. Request a free quote.",145,"https://anotherseoguru.com/en/services/content-creation","",ok
"/en/services/local-seo",en,service,"Local SEO & GBP - Strategy & Implementation | AnotherSEOGuru",60,"Local SEO & GBP services for business growth: technical audits, demand-led content, and monthly reporting tied to revenue. Request a free quote.",144,"https://anotherseoguru.com/en/services/local-seo","",ok
"/en/services/link-building",en,service,"Link Building - Strategy & Implementation | AnotherSEOGuru",58,"Link Building services for business growth: technical audits, search-demand content strategy, local signals, and reporting tied to revenue. Request a quote.",156,"https://anotherseoguru.com/en/services/link-building","",ok
"/en/services/seo-audits",en,service,"SEO Audits - Strategy & Implementation | AnotherSEOGuru",55,"SEO Audits services for business growth: technical audits, search-demand content strategy, local signals, and reporting tied to revenue. Request a quote.",153,"https://anotherseoguru.com/en/services/seo-audits","",ok
"/en/services/eshop-woocommerce",en,service,"E-shop WooCommerce - Design & Build | AnotherSEOGuru",52,"E-shop WooCommerce with technical SEO from day one: clean UX architecture, mobile speed, Core Web Vitals and conversion structure. Request a free quote.",152,"https://anotherseoguru.com/en/services/eshop-woocommerce","",ok
"/en/services/eshop-seo",en,service,"E-shop SEO - Strategy & Implementation | AnotherSEOGuru",55,"E-shop SEO services for business growth: technical audits, search-demand content strategy, local signals, and reporting tied to revenue. Request a quote.",153,"https://anotherseoguru.com/en/services/eshop-seo","",ok
"/el/services/website-creation",el,service,"Κατασκευή Ιστοσελίδων - Υλοποίηση | AnotherSEOGuru",50,"Κατασκευή Ιστοσελίδων με τεχνικά θεμέλια από την πρώτη μέρα: καθαρή αρχιτεκτονική, ταχύτητα, Core Web Vitals και δομή μετατροπών. Ζητήστε προσφορά.",147,"https://anotherseoguru.com/el/services/website-creation","",ok
"/el/services/website-redesign",el,service,"Ανασχεδιασμός Ιστοσελίδας - Υλοποίηση | AnotherSEOGuru",54,"Ανασχεδιασμός Ιστοσελίδας με τεχνικά θεμέλια από την πρώτη μέρα: καθαρή αρχιτεκτονική, ταχύτητα, Core Web Vitals και δομή μετατροπών. Ζητήστε προσφορά.",151,"https://anotherseoguru.com/el/services/website-redesign","",ok
"/el/services/seo-web-design",el,service,"SEO Web Design - Σχεδιασμός & Υλοποίηση | AnotherSEOGuru",56,"SEO Web Design με τεχνικά θεμέλια από την πρώτη μέρα: καθαρή αρχιτεκτονική, ταχύτητα, Core Web Vitals και δομή μετατροπών. Ζητήστε προσφορά.",140,"https://anotherseoguru.com/el/services/seo-web-design","",ok
"/el/services/speed-optimization",el,service,"Βελτιστοποίηση Ταχύτητας - Υλοποίηση | AnotherSEOGuru",53,"Βελτιστοποίηση Ταχύτητας με τεχνικά θεμέλια από την πρώτη μέρα: καθαρή αρχιτεκτονική, ταχύτητα, Core Web Vitals και δομή μετατροπών. Ζητήστε προσφορά.",150,"https://anotherseoguru.com/el/services/speed-optimization","",ok
"/el/services/ai-visibility",el,service,"AI SEO Agency / GEO / AEO - Στρατηγική | AnotherSEOGuru",55,"AI SEO Agency / GEO / AEO από εξειδικευμένη ελληνική ομάδα: τεχνικός έλεγχος, περιεχόμενο βάσει ζήτησης και μετρήσιμα leads. Ζητήστε προσφορά.",142,"https://anotherseoguru.com/el/services/ai-visibility","",ok
"/el/services/logo-design",el,service,"Σχεδιασμός Λογοτύπου - Υλοποίηση | AnotherSEOGuru",49,"Σχεδιασμός Λογοτύπου με τεχνικά θεμέλια από την πρώτη μέρα: καθαρή αρχιτεκτονική, ταχύτητα, Core Web Vitals και δομή μετατροπών. Ζητήστε προσφορά.",146,"https://anotherseoguru.com/el/services/logo-design","",ok
"/el/services/content-creation",el,service,"Δημιουργία Περιεχομένου - Στρατηγική | AnotherSEOGuru",53,"Δημιουργία Περιεχομένου από εξειδικευμένη ελληνική ομάδα: τεχνικός έλεγχος, περιεχόμενο βάσει ζήτησης, τοπικά σήματα και μετρήσιμα leads. Ζητήστε προσφορά.",155,"https://anotherseoguru.com/el/services/content-creation","",ok
"/el/services/local-seo",el,service,"Τοπικό SEO - Στρατηγική & Υλοποίηση | AnotherSEOGuru",52,"Τοπικό SEO από εξειδικευμένη ελληνική ομάδα: τεχνικός έλεγχος, περιεχόμενο βάσει ζήτησης, τοπικά σήματα και μετρήσιμα leads. Ζητήστε προσφορά.",142,"https://anotherseoguru.com/el/services/local-seo","",ok
"/el/services/link-building",el,service,"Link Building - Στρατηγική & Υλοποίηση | AnotherSEOGuru",55,"Link Building από εξειδικευμένη ελληνική ομάδα: τεχνικός έλεγχος, περιεχόμενο βάσει ζήτησης, τοπικά σήματα και μετρήσιμα leads. Ζητήστε προσφορά.",145,"https://anotherseoguru.com/el/services/link-building","",ok
