URL,Family,CurrentIndexability,Clicks,Impressions,Position,ContentWords,UniqueContentAssessment,IntentAssessment,StrategicValue,FinalTier,FinalAction,RedirectDestination,Reason
"https://anotherseoguru.com/en/solutions/restaurants/website-creation","industry-x-service","index","0","0","","227","Service angle + industry pain points now differentiate on both axes","Core service for this industry. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too.","Medium (core service)","B","KEEP","","Core service for this industry with a distinct commercial intent. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too."
"https://anotherseoguru.com/en/solutions/restaurants/website-redesign","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/restaurants","Redesign intent is served by the industry hub plus the redesign service page."
"https://anotherseoguru.com/en/solutions/restaurants/seo-web-design","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/restaurants","Outside the industry's core service set; the hub already satisfies this intent."
"https://anotherseoguru.com/en/solutions/restaurants/speed-optimization","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/restaurants","Performance work is technical and industry-agnostic; the service page covers it."
"https://anotherseoguru.com/en/solutions/restaurants/ai-visibility","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/restaurants","Outside the industry's core service set; the hub already satisfies this intent."
"https://anotherseoguru.com/en/solutions/restaurants/logo-design","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/restaurants","Branding is a sub-intent of the industry hub, not a separate search need."
"https://anotherseoguru.com/en/solutions/restaurants/content-creation","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/restaurants","Outside the industry's core service set; the hub already satisfies this intent."
"https://anotherseoguru.com/en/solutions/restaurants/local-seo","industry-x-service","index","0","0","","227","Service angle + industry pain points now differentiate on both axes","Core service for this industry. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too.","Medium (core service)","B","KEEP","","Core service for this industry with a distinct commercial intent. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too."
"https://anotherseoguru.com/en/solutions/restaurants/link-building","industry-x-service","index","0","7","25.1","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/restaurants","Link building is bought as an SEO service, not as an industry-specific product."
"https://anotherseoguru.com/en/solutions/restaurants/seo-audits","industry-x-service","index","0","0","","227","Service angle + industry pain points now differentiate on both axes","Core service for this industry. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too.","Medium (core service)","B","KEEP","","Core service for this industry with a distinct commercial intent. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too."
"https://anotherseoguru.com/en/solutions/restaurants/eshop-woocommerce","industry-x-service","index","0","0","","227","Service angle + industry pain points now differentiate on both axes","Core service for this industry. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too.","Medium (core service)","B","KEEP","","Core service for this industry with a distinct commercial intent. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too."
"https://anotherseoguru.com/en/solutions/restaurants/eshop-seo","industry-x-service","index","0","0","","227","Service angle + industry pain points now differentiate on both axes","Core service for this industry. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too.","Medium (core service)","B","KEEP","","Core service for this industry with a distinct commercial intent. Map pack decides footfall; online ordering is a genuine storefront, so its SEO counts too."
"https://anotherseoguru.com/en/solutions/plumbers/website-creation","industry-x-service","index","0","0","","227","Service angle + industry pain points now differentiate on both axes","Core service for this industry. Emergency and near-me intent; conversion happens by phone.","Medium (core service)","B","KEEP","","Core service for this industry with a distinct commercial intent. Emergency and near-me intent; conversion happens by phone."
"https://anotherseoguru.com/en/solutions/plumbers/website-redesign","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/plumbers","Redesign intent is served by the industry hub plus the redesign service page."
"https://anotherseoguru.com/en/solutions/plumbers/seo-web-design","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/plumbers","Outside the industry's core service set; the hub already satisfies this intent."
"https://anotherseoguru.com/en/solutions/plumbers/speed-optimization","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/plumbers","Performance work is technical and industry-agnostic; the service page covers it."
"https://anotherseoguru.com/en/solutions/plumbers/ai-visibility","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/plumbers","Outside the industry's core service set; the hub already satisfies this intent."
"https://anotherseoguru.com/en/solutions/plumbers/logo-design","industry-x-service","index","0","4","15.3","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/plumbers","Branding is a sub-intent of the industry hub, not a separate search need."
"https://anotherseoguru.com/en/solutions/plumbers/content-creation","industry-x-service","index","0","0","","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/plumbers","Outside the industry's core service set; the hub already satisfies this intent."
"https://anotherseoguru.com/en/solutions/plumbers/local-seo","industry-x-service","index","0","0","","227","Service angle + industry pain points now differentiate on both axes","Core service for this industry. Emergency and near-me intent; conversion happens by phone.","Medium (core service)","B","KEEP","","Core service for this industry with a distinct commercial intent. Emergency and near-me intent; conversion happens by phone."
"https://anotherseoguru.com/en/solutions/plumbers/link-building","industry-x-service","index","0","7","41.9","227","Template body with the industry noun substituted; no independent substance","Not a distinct buying intent for this industry","Low","D","CONSOLIDATE","https://anotherseoguru.com/en/solutions/plumbers","Link building is bought as an SEO service, not as an industry-specific product."
"https://anotherseoguru.com/en/solutions/plumbers/seo-audits","industry-x-service","index","0","0","","227","Service angle + industry pain points now differentiate on both axes","Core service for this industry. Emergency and near-me intent; conversion happens by phone.","Medium (core service)","B","KEEP","","Core service for this industry with a distinct commercial intent. Emergency and near-me intent; conversion happens by phone."
